BlogNum,StoryTitle,StoryURL,StoryPublishDate,StoryCounty,FocusAreaID,FocusAreaName,PillarID,PillarName,MatchRationale
4,How NCDPI’s Office of Research & Promising Practices Turns Evidence into Action,https://www.dpi.nc.gov/blog/2025/09/17/how-ncdpis-office-research-promising-practices-turns-evidence-action,2025-09-17 00:00:00,,P5.F3,Modernize NCDPI and PSU operations,P5,Strengthen NCDPI Leadership and Support Services,Data framework and analytics for decision-making align with NCDPI data/analytics modernization actions
5,NCDPI Marks Attendance Awareness Month with Plan to Help Schools Reduce Chronic Absenteeism,https://www.dpi.nc.gov/blog/2025/09/23/ncdpi-marks-attendance-awareness-month-plan-help-schools-reduce-chronic-absenteeism,2025-09-23 00:00:00,,P4.F2,Improve student and staff health and well-being,P4,Support Student Health and Well-Being,Chronic absenteeism is a named action under P4.F2; blog is entirely about reducing absenteeism
6,"One Year After Helene: Resilience, Step by Step",https://www.dpi.nc.gov/blog/2025/09/30/one-year-after-helene-resilience-step-step,2025-09-30 00:00:00,Haywood,P4.F2,Improve student and staff health and well-being,P4,Support Student Health and Well-Being,Staff wellness programs directly align with student and staff health/well-being
6,"One Year After Helene: Resilience, Step by Step",https://www.dpi.nc.gov/blog/2025/09/30/one-year-after-helene-resilience-step-step,2025-09-30 00:00:00,Haywood,P3.F2,Strengthen community partnerships,P3,Engage and Empower Families and Communities,Schools serving as community support systems during disaster recovery exemplifies PSU-community partnerships
7,One Year After Helene: From Checkmarks to Tomorrows,https://www.dpi.nc.gov/blog/2025/10/02/one-year-after-helene-checkmarks-tomorrows,2025-10-02 00:00:00,Buncombe,P3.F2,Strengthen community partnerships,P3,Engage and Empower Families and Communities,Schools described as lifelines for community healing -- direct example of PSU-community bridge function
7,One Year After Helene: From Checkmarks to Tomorrows,https://www.dpi.nc.gov/blog/2025/10/02/one-year-after-helene-checkmarks-tomorrows,2025-10-02 00:00:00,Buncombe,P4.F2,Improve student and staff health and well-being,P4,Support Student Health and Well-Being,Community healing through schools aligns with the whole school/community well-being model
8,Meet North Carolina’s Principal of the Year,https://www.dpi.nc.gov/blog/2025/10/08/meet-north-carolinas-principal-year,2025-10-08 00:00:00,Orange,P2.F4,Elevate and restore pride in the education profession,P2,Invest in Educators,Principal of the Year recognition is a named action under P2.F4
8,Meet North Carolina’s Principal of the Year,https://www.dpi.nc.gov/blog/2025/10/08/meet-north-carolinas-principal-year,2025-10-08 00:00:00,Orange,P2.F3,Increase educator compensation,P2,Invest in Educators,Blog explicitly discusses advocacy for educator compensation
8,Meet North Carolina’s Principal of the Year,https://www.dpi.nc.gov/blog/2025/10/08/meet-north-carolinas-principal-year,2025-10-08 00:00:00,Orange,P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,Equitable access and 100% growth across all schools aligns with excellence for all students
9,Celebrating CTE and Spotlighting Innovation in the Southeast,https://www.dpi.nc.gov/blog/2025/10/14/celebrating-cte-and-spotlighting-innovation-southeast,2025-10-14 00:00:00,"New Hanover, Carteret",P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,CTE at 36% participation is a rigorous career pathway; CTE is a named action area under P1.F3
9,Celebrating CTE and Spotlighting Innovation in the Southeast,https://www.dpi.nc.gov/blog/2025/10/14/celebrating-cte-and-spotlighting-innovation-southeast,2025-10-14 00:00:00,"New Hanover, Carteret",P1.F4,Reimagine the student experience,P1,Prepare Each Student for Their Next Phase in Life,"Early college, Farm to School, and workforce development represent reimagined student experiences"
9,Celebrating CTE and Spotlighting Innovation in the Southeast,https://www.dpi.nc.gov/blog/2025/10/14/celebrating-cte-and-spotlighting-innovation-southeast,2025-10-14 00:00:00,"New Hanover, Carteret",P1.F5,Launch life-ready graduates,P1,Prepare Each Student for Their Next Phase in Life,Workforce development and career readiness directly support launching life-ready graduates
9,Celebrating CTE and Spotlighting Innovation in the Southeast,https://www.dpi.nc.gov/blog/2025/10/14/celebrating-cte-and-spotlighting-innovation-southeast,2025-10-14 00:00:00,"New Hanover, Carteret",P3.F2,Strengthen community partnerships,P3,Engage and Empower Families and Communities,Farm to School is an explicit community/business partnership supporting schools
10,"This College Application Week, Direct Admission is Waiting for About 70,000 Students",https://www.dpi.nc.gov/blog/2025/10/16/college-application-week-direct-admission-waiting-about-70000-students,2025-10-16 00:00:00,,P1.F4,Reimagine the student experience,P1,Prepare Each Student for Their Next Phase in Life,NC College Connect and direct admission are explicitly named actions under P1.F4
10,"This College Application Week, Direct Admission is Waiting for About 70,000 Students",https://www.dpi.nc.gov/blog/2025/10/16/college-application-week-direct-admission-waiting-about-70000-students,2025-10-16 00:00:00,,P1.F5,Launch life-ready graduates,P1,Prepare Each Student for Their Next Phase in Life,"Automatically offering college spots to 70,000 seniors is a direct postsecondary launch mechanism"
11,"Supporting Agriculture, Nutrition and Health",https://www.dpi.nc.gov/blog/2025/10/28/supporting-agriculture-nutrition-and-health,2025-10-28 00:00:00,,P4.F2,Improve student and staff health and well-being,P4,Support Student Health and Well-Being,School nutrition and student wellness directly align with health actions under P4.F2
11,"Supporting Agriculture, Nutrition and Health",https://www.dpi.nc.gov/blog/2025/10/28/supporting-agriculture-nutrition-and-health,2025-10-28 00:00:00,,P3.F2,Strengthen community partnerships,P3,Engage and Empower Families and Communities,Farm-to-School partnerships with local agriculture are community/business partnerships
12,Exploring Endless Opportunities – and a Zoo School – in the Piedmont Triad,https://www.dpi.nc.gov/blog/2025/10/30/exploring-endless-opportunities-and-zoo-school-piedmont-triad,2025-10-30 00:00:00,"Davidson, Alamance-Burlington, Guilford",P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,"Advanced manufacturing, healthcare CTE, and Global Innovation Center are rigorous career/academic pathways"
12,Exploring Endless Opportunities – and a Zoo School – in the Piedmont Triad,https://www.dpi.nc.gov/blog/2025/10/30/exploring-endless-opportunities-and-zoo-school-piedmont-triad,2025-10-30 00:00:00,"Davidson, Alamance-Burlington, Guilford",P1.F4,Reimagine the student experience,P1,Prepare Each Student for Their Next Phase in Life,Zoo School experiential learning is a direct example of reimagining the student experience
12,Exploring Endless Opportunities – and a Zoo School – in the Piedmont Triad,https://www.dpi.nc.gov/blog/2025/10/30/exploring-endless-opportunities-and-zoo-school-piedmont-triad,2025-10-30 00:00:00,"Davidson, Alamance-Burlington, Guilford",P6.F1,Transform schools through research and development,P6,Foster Innovation and Continuous Improvement,Global Innovation Center and Zoo School are clearly innovative school practices
13,Meet the High School Senior Helping Shape NC’s Education Policy,https://www.dpi.nc.gov/blog/2025/11/04/meet-high-school-senior-helping-shape-ncs-education-policy,2025-11-04 00:00:00,Wake,P1.F4,Reimagine the student experience,P1,Prepare Each Student for Their Next Phase in Life,Student advisor to State Board shaping policy directly reimagines student experience through student voice
13,Meet the High School Senior Helping Shape NC’s Education Policy,https://www.dpi.nc.gov/blog/2025/11/04/meet-high-school-senior-helping-shape-ncs-education-policy,2025-11-04 00:00:00,Wake,P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,Advocacy on transcript components and class weighting directly relates to equitable access to rigorous pathways
14,BCS Parent University Helps Families Learn the ABCs of School Operations,https://www.dpi.nc.gov/blog/2025/11/06/bcs-parent-university-helps-families-learn-abcs-school-operations,2025-11-06 00:00:00,Buncombe,P3.F1,Engage and empower families,P3,Engage and Empower Families and Communities,Parent University video series is a direct family engagement and education initiative
14,BCS Parent University Helps Families Learn the ABCs of School Operations,https://www.dpi.nc.gov/blog/2025/11/06/bcs-parent-university-helps-families-learn-abcs-school-operations,2025-11-06 00:00:00,Buncombe,P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,"Content covers CTE and dual language, helping families understand rigorous pathway options"
15,The Northeast: Where Our Roots Run Deep,https://www.dpi.nc.gov/blog/2025/11/13/northeast-where-our-roots-run-deep,2025-11-13 00:00:00,"Pitt, Hertford, Perquimans",P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,"STEM, robotics, 3D printing, CTE, and AVID are rigorous academic and career pathways"
15,The Northeast: Where Our Roots Run Deep,https://www.dpi.nc.gov/blog/2025/11/13/northeast-where-our-roots-run-deep,2025-11-13 00:00:00,"Pitt, Hertford, Perquimans",P1.F2,Elevate teaching and learning,P1,Prepare Each Student for Their Next Phase in Life,"STEM instruction and digital learning tools (3D printing, robotics) align with elevating teaching through digital learning"
15,The Northeast: Where Our Roots Run Deep,https://www.dpi.nc.gov/blog/2025/11/13/northeast-where-our-roots-run-deep,2025-11-13 00:00:00,"Pitt, Hertford, Perquimans",P2.F2,Expand career pathways for education professionals,P2,Invest in Educators,Teacher Advisory Councils represent teacher leadership pathways
16,Empowering Futures: Celebrating Career Development Month and North Carolina’s Career Development Coordinator Day,https://www.dpi.nc.gov/blog/2025/11/19/empowering-futures-celebrating-career-development-month-and-north-carolinas-career-developmentt,2025-11-19 00:00:00,,P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,"550,000+ CTE participants with 98% graduation rate is a direct CTE rigorous pathway outcome"
16,Empowering Futures: Celebrating Career Development Month and North Carolina’s Career Development Coordinator Day,https://www.dpi.nc.gov/blog/2025/11/19/empowering-futures-celebrating-career-development-month-and-north-carolinas-career-developmentt,2025-11-19 00:00:00,,P1.F4,Reimagine the student experience,P1,Prepare Each Student for Their Next Phase in Life,Career development coordinators and career development plans are a named action under P1.F4
16,Empowering Futures: Celebrating Career Development Month and North Carolina’s Career Development Coordinator Day,https://www.dpi.nc.gov/blog/2025/11/19/empowering-futures-celebrating-career-development-month-and-north-carolinas-career-developmentt,2025-11-19 00:00:00,,P1.F5,Launch life-ready graduates,P1,Prepare Each Student for Their Next Phase in Life,Work-based learning and workforce readiness directly launch life-ready graduates with durable skills
17,From Early College to Legal Intern,https://www.dpi.nc.gov/blog/2025/11/20/early-college-legal-intern,2025-11-20 00:00:00,Nash,P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,Early college with dual enrollment (diploma + associate degree + certificate) is a rigorous advanced pathway
17,From Early College to Legal Intern,https://www.dpi.nc.gov/blog/2025/11/20/early-college-legal-intern,2025-11-20 00:00:00,Nash,P1.F4,Reimagine the student experience,P1,Prepare Each Student for Their Next Phase in Life,Internship at a law firm and Teen Court are career development experiences
17,From Early College to Legal Intern,https://www.dpi.nc.gov/blog/2025/11/20/early-college-legal-intern,2025-11-20 00:00:00,Nash,P1.F5,Launch life-ready graduates,P1,Prepare Each Student for Their Next Phase in Life,"Graduating with diploma, associate degree, certificate, and legal internship defines a life-ready graduate"
18,Meet the State Superintendent’s Student Advisory Council,https://www.dpi.nc.gov/blog/2025/11/24/meet-state-superintendents-student-advisory-council,2025-11-24 00:00:00,,P1.F4,Reimagine the student experience,P1,Prepare Each Student for Their Next Phase in Life,Student advisory council giving students voice in education policy reimagines student experience through leadership
18,Meet the State Superintendent’s Student Advisory Council,https://www.dpi.nc.gov/blog/2025/11/24/meet-state-superintendents-student-advisory-council,2025-11-24 00:00:00,,P2.F3,Increase educator compensation,P2,Invest in Educators,Teacher compensation explicitly named as a student priority/advocacy area
18,Meet the State Superintendent’s Student Advisory Council,https://www.dpi.nc.gov/blog/2025/11/24/meet-state-superintendents-student-advisory-council,2025-11-24 00:00:00,,P4.F2,Improve student and staff health and well-being,P4,Support Student Health and Well-Being,Mental health explicitly named as a student advisory council priority
19,Student Media Spotlight: The Green Hope Falcon Soars to Great Heights,https://www.dpi.nc.gov/blog/2025/12/04/student-media-spotlight-green-hope-falcon-soars-great-heights,2025-12-04 00:00:00,Wake,P1.F4,Reimagine the student experience,P1,Prepare Each Student for Their Next Phase in Life,Student newspaper and media excellence is an arts/leadership extracurricular under P1.F4
19,Student Media Spotlight: The Green Hope Falcon Soars to Great Heights,https://www.dpi.nc.gov/blog/2025/12/04/student-media-spotlight-green-hope-falcon-soars-great-heights,2025-12-04 00:00:00,Wake,P1.F5,Launch life-ready graduates,P1,Prepare Each Student for Their Next Phase in Life,Distinguished student journalism and UNC pipeline represent durable skills and postsecondary pathways
20,Commitment and Culture Shine in the North Central Region,https://www.dpi.nc.gov/blog/2025/12/09/commitment-and-culture-shine-north-central-region,2025-12-09 00:00:00,"Edgecombe, Orange",P1.F4,Reimagine the student experience,P1,Prepare Each Student for Their Next Phase in Life,College-going culture and experiential learning directly align with reimagining student experience
20,Commitment and Culture Shine in the North Central Region,https://www.dpi.nc.gov/blog/2025/12/09/commitment-and-culture-shine-north-central-region,2025-12-09 00:00:00,"Edgecombe, Orange",P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,Career/college prep pathways are rigorous academic pathways for all students
20,Commitment and Culture Shine in the North Central Region,https://www.dpi.nc.gov/blog/2025/12/09/commitment-and-culture-shine-north-central-region,2025-12-09 00:00:00,"Edgecombe, Orange",P1.F5,Launch life-ready graduates,P1,Prepare Each Student for Their Next Phase in Life,College-going culture is a direct mechanism for launching life-ready graduates
21,Sandhills Shines Through the Rain,https://www.dpi.nc.gov/blog/2025/12/11/sandhills-shines-through-rain,2025-12-11 00:00:00,"Columbus, Scotland, Richmond, Robeson",P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,CTE programs and dual enrollment are rigorous career/academic pathways
21,Sandhills Shines Through the Rain,https://www.dpi.nc.gov/blog/2025/12/11/sandhills-shines-through-rain,2025-12-11 00:00:00,"Columbus, Scotland, Richmond, Robeson",P2.F1,Improve educator recruitment and retention,P2,Invest in Educators,UNC Pembroke teacher prep pipeline is a direct educator recruitment/pipeline initiative
21,Sandhills Shines Through the Rain,https://www.dpi.nc.gov/blog/2025/12/11/sandhills-shines-through-rain,2025-12-11 00:00:00,"Columbus, Scotland, Richmond, Robeson",P1.F5,Launch life-ready graduates,P1,Prepare Each Student for Their Next Phase in Life,Workforce development with AWS investment and higher ed pathways directly support life-ready graduates
21,Sandhills Shines Through the Rain,https://www.dpi.nc.gov/blog/2025/12/11/sandhills-shines-through-rain,2025-12-11 00:00:00,"Columbus, Scotland, Richmond, Robeson",P3.F2,Strengthen community partnerships,P3,Engage and Empower Families and Communities,AWS investment and UNC Pembroke partnership are business/higher-ed community partnerships
22,Future Jr. Chefs: Five High School Teams Set to Compete in 2026 Competition,https://www.dpi.nc.gov/blog/2025/12/16/future-jr-chefs-five-high-school-teams-set-compete-2026-competition,2025-12-16 00:00:00,,P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,Jr. Chef Competition is a CTE culinary arts pathway with rigorous applied skills
22,Future Jr. Chefs: Five High School Teams Set to Compete in 2026 Competition,https://www.dpi.nc.gov/blog/2025/12/16/future-jr-chefs-five-high-school-teams-set-compete-2026-competition,2025-12-16 00:00:00,,P4.F2,Improve student and staff health and well-being,P4,Support Student Health and Well-Being,Creating nutritious school lunches with local produce directly supports school-based health and nutrition
23,Hands-On Bike Safety Brings Enka High and Enka Intermediate Students Together,https://www.dpi.nc.gov/blog/2025/12/17/hands-bike-safety-brings-enka-high-and-enka-intermediate-students-together,2025-12-17 00:00:00,Buncombe,P1.F5,Launch life-ready graduates,P1,Prepare Each Student for Their Next Phase in Life,Portrait of a Graduate skills and civic engagement are durable skills for life readiness
23,Hands-On Bike Safety Brings Enka High and Enka Intermediate Students Together,https://www.dpi.nc.gov/blog/2025/12/17/hands-bike-safety-brings-enka-high-and-enka-intermediate-students-together,2025-12-17 00:00:00,Buncombe,P4.F2,Improve student and staff health and well-being,P4,Support Student Health and Well-Being,Physical education bike safety unit directly aligns with physical activity promotion under P4.F2
23,Hands-On Bike Safety Brings Enka High and Enka Intermediate Students Together,https://www.dpi.nc.gov/blog/2025/12/17/hands-bike-safety-brings-enka-high-and-enka-intermediate-students-together,2025-12-17 00:00:00,Buncombe,P1.F1,Ignite early learning,P1,Prepare Each Student for Their Next Phase in Life,Cross-grade peer mentorship in elementary school aligns with collaborative early learning approaches
24,Symbols of Resilience in the Northwest,https://www.dpi.nc.gov/blog/2025/12/19/symbols-resilience-northwest,2025-12-19 00:00:00,"Caldwell, Watauga, Mitchell ",P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,CTE at Watauga and dual language immersion are rigorous pathways
24,Symbols of Resilience in the Northwest,https://www.dpi.nc.gov/blog/2025/12/19/symbols-resilience-northwest,2025-12-19 00:00:00,"Caldwell, Watauga, Mitchell ",P2.F1,Improve educator recruitment and retention,P2,Invest in Educators,Teacher prep partnership with Appalachian State is a direct teacher pipeline initiative
24,Symbols of Resilience in the Northwest,https://www.dpi.nc.gov/blog/2025/12/19/symbols-resilience-northwest,2025-12-19 00:00:00,"Caldwell, Watauga, Mitchell ",P3.F2,Strengthen community partnerships,P3,Engage and Empower Families and Communities,Appalachian State teacher prep and community rebuilding after Helene are PSU-community partnerships
25,2025 Points of Pride,https://www.dpi.nc.gov/blog/2025/12/23/2025-points-pride,2025-12-23 00:00:00,,P2.F4,Elevate and restore pride in the education profession,P2,Invest in Educators,Teachers/Principals of the Year highlights are the named recognition actions under P2.F4
25,2025 Points of Pride,https://www.dpi.nc.gov/blog/2025/12/23/2025-points-pride,2025-12-23 00:00:00,,P1.F1,Ignite early learning,P1,Prepare Each Student for Their Next Phase in Life,Early literacy is explicitly mentioned as a point of pride
25,2025 Points of Pride,https://www.dpi.nc.gov/blog/2025/12/23/2025-points-pride,2025-12-23 00:00:00,,P1.F2,Elevate teaching and learning,P1,Prepare Each Student for Their Next Phase in Life,STEM and arts integration represent elevated teaching and learning approaches
25,2025 Points of Pride,https://www.dpi.nc.gov/blog/2025/12/23/2025-points-pride,2025-12-23 00:00:00,,P1.F4,Reimagine the student experience,P1,Prepare Each Student for Their Next Phase in Life,"Student belonging, arts integration, and STEM represent reimagined student experiences"
26,2026 New Year's Resolutions,https://www.dpi.nc.gov/blog/2025/12/31/2026-new-years-resolutions,2025-12-31 00:00:00,,P2.F4,Elevate and restore pride in the education profession,P2,Invest in Educators,Educators sharing resolutions for equity and advocacy directly elevates educator voice and professional pride
26,2026 New Year's Resolutions,https://www.dpi.nc.gov/blog/2025/12/31/2026-new-years-resolutions,2025-12-31 00:00:00,,P8.F1,Build community voices,P8,Build Community Advocacy,Educators articulating advocacy resolutions is a direct example of building advocacy voices
27,Celebrating Award-Winning School and Summer Nutrition Programs,https://www.dpi.nc.gov/blog/2026/01/08/celebrating-award-winning-school-and-summer-nutrition-programs,2026-01-08 00:00:00,,P4.F2,Improve student and staff health and well-being,P4,Support Student Health and Well-Being,"School nutrition serving 850,000+ students directly supports student health"
27,Celebrating Award-Winning School and Summer Nutrition Programs,https://www.dpi.nc.gov/blog/2026/01/08/celebrating-award-winning-school-and-summer-nutrition-programs,2026-01-08 00:00:00,,P3.F2,Strengthen community partnerships,P3,Engage and Empower Families and Communities,"Boys and Girls Clubs, food banks, and YMCAs are explicitly named community partners"
28,From Classroom to Community: A National History Teacher’s Journey,https://www.dpi.nc.gov/blog/2026/01/14/classroom-community-national-history-teachers-journey,2026-01-14 00:00:00,Rockingham,P1.F2,Elevate teaching and learning,P1,Prepare Each Student for Their Next Phase in Life,"Place-based, inquiry-driven history instruction is an elevated teaching approach"
28,From Classroom to Community: A National History Teacher’s Journey,https://www.dpi.nc.gov/blog/2026/01/14/classroom-community-national-history-teachers-journey,2026-01-14 00:00:00,Rockingham,P1.F5,Launch life-ready graduates,P1,Prepare Each Student for Their Next Phase in Life,Civic engagement and service learning are named actions under P1.F5
28,From Classroom to Community: A National History Teacher’s Journey,https://www.dpi.nc.gov/blog/2026/01/14/classroom-community-national-history-teachers-journey,2026-01-14 00:00:00,Rockingham,P3.F2,Strengthen community partnerships,P3,Engage and Empower Families and Communities,Place-based instruction using local civil rights stories is an explicit classroom-community partnership
28,From Classroom to Community: A National History Teacher’s Journey,https://www.dpi.nc.gov/blog/2026/01/14/classroom-community-national-history-teachers-journey,2026-01-14 00:00:00,Rockingham,P2.F4,Elevate and restore pride in the education profession,P2,Invest in Educators,National History Teacher recognition elevates and celebrates the profession
29,From Bus Driver to EC Teacher,https://www.dpi.nc.gov/blog/2026/01/20/bus-driver-ec-teacher,2026-01-20 00:00:00,Union,P2.F1,Improve educator recruitment and retention,P2,Invest in Educators,Alternative pathways and grow-your-own program are named teacher pipeline actions under P2.F1
29,From Bus Driver to EC Teacher,https://www.dpi.nc.gov/blog/2026/01/20/bus-driver-ec-teacher,2026-01-20 00:00:00,Union,P2.F2,Expand career pathways for education professionals,P2,Invest in Educators,Bus driver to EC teacher is a literal career pathway within education
29,From Bus Driver to EC Teacher,https://www.dpi.nc.gov/blog/2026/01/20/bus-driver-ec-teacher,2026-01-20 00:00:00,Union,P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,EC education directly relates to equitable services for all students
30,"Find Your Fit, Build Your Future in NC Public Schools",https://www.dpi.nc.gov/blog/2026/01/27/find-your-fit-build-your-future-nc-public-schools,2026-01-27 00:00:00,,P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,"Charter schools, early college, CTE with 160+ credentials are rigorous educational pathways"
30,"Find Your Fit, Build Your Future in NC Public Schools",https://www.dpi.nc.gov/blog/2026/01/27/find-your-fit-build-your-future-nc-public-schools,2026-01-27 00:00:00,,P1.F4,Reimagine the student experience,P1,Prepare Each Student for Their Next Phase in Life,Helping families find the right school fit across diverse options reimagines the student experience
30,"Find Your Fit, Build Your Future in NC Public Schools",https://www.dpi.nc.gov/blog/2026/01/27/find-your-fit-build-your-future-nc-public-schools,2026-01-27 00:00:00,,P3.F1,Engage and empower families,P3,Engage and Empower Families and Communities,Campaign explicitly targets families to help them navigate educational options
